,values
2015-08-28,6.694757204660398e-07
2015-08-31,6.214335685599362e-07
2015-09-01,6.438201941640709e-07
2015-09-02,6.211588549304445e-07
2015-09-03,6.632248732999782e-07
2015-09-04,6.632248732999782e-07
2015-09-08,6.211651406366679e-07
2015-09-09,6.213148519855426e-07
2015-09-10,6.212402329517969e-07
2015-09-11,6.384450085516657e-07
2015-09-14,6.265196626220013e-07
2015-09-15,6.007088559656809e-07
2015-09-16,6.007583653687374e-07
2015-09-17,6.604829543752014e-07
2015-09-18,6.212218850694017e-07
2015-09-21,6.21200994302904e-07
2015-09-22,6.009047238513395e-07
2015-09-23,6.007829699553395e-07
2015-09-24,6.01582810537282e-07
2015-09-25,6.214773271183317e-07
2015-09-28,6.604829543752013e-07
2015-09-29,6.604829543752013e-07
2015-09-30,6.451654554192927e-07
2015-10-01,6.450801648279744e-07
2015-10-02,5.672511943981953e-07
2015-10-05,6.452082746528372e-07
2015-10-06,6.45630322291191e-07
2015-10-07,6.051438325822123e-07
2015-10-08,6.449313139966497e-07
2015-10-09,6.055067313899861e-07
2015-10-12,6.226282036740739e-07
2015-10-13,6.222570418650296e-07
2015-10-14,6.222977628023733e-07
2015-10-15,6.220033463854224e-07
2015-10-16,6.604829543752013e-07
2015-10-19,5.681010554650387e-07
2015-10-20,5.681137054086688e-07
2015-10-21,5.683156278988084e-07
2015-10-22,6.218552983758999e-07
2015-10-23,6.048480065582863e-07
2015-10-26,6.044095933554374e-07
2015-10-27,6.452389474774832e-07
2015-10-28,6.45630322291191e-07
2015-10-29,6.449313139966497e-07
2015-10-30,6.015828105372816e-07
2015-11-02,5.33662663305866e-07
2015-11-03,5.338984343931553e-07
2015-11-04,5.338354077838598e-07
2015-11-05,6.451682403014022e-07
2015-11-06,6.455269616933152e-07
2015-11-09,6.455269616933152e-07
2015-11-10,6.455269616933152e-07
2015-11-11,6.45630322291191e-07
2015-11-12,6.455512012764652e-07
2015-11-13,6.455269616933152e-07
2015-11-16,6.455512012764652e-07
2015-11-17,6.455512012764652e-07
2015-11-18,6.455512012764652e-07
2015-11-19,6.45779258485507e-07
