,values
2014-03-12,3.271242377673308e-07
2014-03-13,3.271242377673308e-07
2014-03-14,3.112184287279362e-07
2014-03-17,2.2500185966578993e-07
2014-03-18,6.716964637623581e-08
2014-03-19,1.9027874277687577e-07
2014-03-20,7.567774165855436e-08
2014-03-21,2.2500185966578993e-07
2014-03-24,1.9027874277687577e-07
2014-03-25,2.2500185966578993e-07
2014-03-26,1.981503603674173e-07
2014-03-27,1.827732368024862e-07
2014-03-28,2.2500185966578993e-07
2014-03-31,6.974988145888696e-08
2014-04-01,6.974988145888696e-08
2014-04-02,6.974988145888696e-08
2014-04-03,6.974988145888696e-08
2014-04-04,5.6000298680484195e-08
2014-04-07,5.5451381446414e-08
2014-04-08,5.3697828527013875e-08
2014-04-09,5.40796374635712e-08
2014-04-10,6.8416740980848e-08
2014-04-11,2.350172257810069e-07
2014-04-14,7.912132804230653e-08
2014-04-15,7.912132804230653e-08
2014-04-16,7.567774165855436e-08
2014-04-17,2.4571967862649686e-07
2014-04-22,2.350172257810069e-07
2014-04-23,2.1554162425642668e-07
2014-04-24,2.4571967862649686e-07
2014-04-25,8.495623688553331e-08
2014-04-28,2.8243196728782265e-07
2014-04-29,5.5451381446414e-08
2014-04-30,2.4571967862649686e-07
2014-05-02,6.279287288226753e-08
2014-05-06,6.279287288226753e-08
2014-05-07,7.405673134660246e-08
2014-05-08,5.855231210650317e-08
2014-05-09,2.6945394576275617e-07
2014-05-12,5.44977706897068e-08
2014-05-13,5.44977706897068e-08
2014-05-14,8.490695377760197e-07
2014-05-15,2.6945394576275617e-07
2014-05-16,7.739425768050049e-08
2014-05-19,2.6945394576275617e-07
2014-05-20,7.108664059379115e-08
2014-05-21,5.5451381446414e-08
2014-05-22,6.011191970395591e-08
2014-05-23,5.44977706897068e-08
2014-05-27,5.40796374635712e-08
2014-05-28,5.40796374635712e-08
2014-05-30,6.011191970395591e-08
2014-06-02,6.011191970395591e-08
2014-06-03,6.011191970395591e-08
2014-06-04,6.011191970395591e-08
2014-06-05,6.011191970395591e-08
2014-06-06,2.2500185966578993e-07
2014-06-10,5.930494569306631e-08
2014-06-11,5.930494569306631e-08
2014-06-12,7.912132804230653e-08
2014-06-13,8.099921656614071e-08
2014-06-16,5.855231210650317e-08
2014-06-17,5.855231210650317e-08
2014-06-18,6.279287288226753e-08
2014-06-19,8.099921656614071e-08
2014-06-20,2.4571967862649686e-07
2014-06-23,1.119410757069756e-07
2014-06-24,1.119410757069756e-07
2014-06-25,2.572693956605318e-07
2014-06-26,2.572693956605318e-07
2014-06-27,2.350172257810069e-07
2014-06-30,2.572693956605318e-07
2014-07-01,2.4571967862649686e-07
2014-07-02,5.5451381446413995e-08
2014-07-03,8.099921656614071e-08
2014-07-04,2.350172257810069e-07
2014-07-07,6.011191970395591e-08
2014-07-08,5.4938978807056254e-08
2014-07-09,2.2500185966578993e-07
2014-07-10,6.093513972331849e-08
2014-07-11,2.4571967862649686e-07
2014-07-14,2.350172257810069e-07
2014-07-15,2.4571967862649686e-07
2014-07-16,8.495623688553331e-08
2014-07-17,8.290757578696137e-08
2014-07-18,2.1554162425642668e-07
2014-07-21,1.0543740980930628e-07
2014-07-22,5.238447302614957e-08
2014-07-23,5.6000298680484195e-08
2014-07-24,6.011191970395591e-08
2014-07-25,5.718863868430379e-08
2014-07-28,1.9027874277687577e-07
2014-07-29,1.981503603674173e-07
2014-07-30,2.0658997819560394e-07
2014-07-31,2.2500185966578993e-07
2014-08-04,2.350172257810069e-07
2014-08-05,2.4571967862649686e-07
2014-08-06,5.8552312106503184e-08
2014-08-07,6.716964637623581e-08
2014-08-08,6.974988145888696e-08
2014-08-11,6.381025199151932e-08
2014-08-12,7.108664059379115e-08
2014-08-13,6.974988145888696e-08
2014-08-14,7.255946083809338e-08
2014-08-18,7.108664059379115e-08
2014-08-19,5.3697828527013875e-08
2014-08-20,7.739425768050052e-08
2014-08-21,1.0244513740979123e-07
2014-08-22,6.488918267637999e-08
2014-08-26,2.4571967862649686e-07
2014-08-27,2.9625262054878756e-07
2014-08-28,7.567774165855438e-08
2014-08-29,6.716964637623583e-08
2014-09-01,2.6945394576275617e-07
2014-09-02,2.6945394576275617e-07
2014-09-03,6.716964637623583e-08
2014-09-04,7.912132804230653e-08
2014-09-05,9.174167639990664e-08
2014-09-08,8.290757578696138e-08
2014-09-09,2.8243196728782265e-07
2014-09-10,6.279287288226753e-08
2014-09-11,1.0543740980930628e-07
2014-09-12,8.290757578696138e-08
2014-09-15,2.350172257810069e-07
2014-09-16,7.739425768050052e-08
2014-09-17,6.8416740980848e-08
2014-09-18,2.6945394576275617e-07
2014-09-19,6.8416740980848e-08
2014-09-22,6.8416740980848e-08
2014-09-23,5.1965433676159176e-08
2014-09-24,1.3602017546427726e-07
2014-09-25,9.174167639990664e-08
2014-09-26,6.279287288226753e-08
2014-09-29,1.3602017546427726e-07
2014-09-30,9.174167639990664e-08
2014-10-01,2.572693956605318e-07
2014-10-02,2.350172257810069e-07
2014-10-06,5.4938978807056254e-08
2014-10-07,5.718863868430379e-08
2014-10-08,5.5451381446414e-08
2014-10-09,1.690594535741619e-07
2014-10-10,5.40796374635712e-08
2014-10-13,7.405673134660246e-08
2014-10-14,1.568759313645715e-07
2014-10-15,1.6281366909945155e-07
2014-10-16,7.255946083809338e-08
2014-10-17,7.108664059379115e-08
2014-10-20,8.711107757238077e-08
2014-10-21,8.711107757238077e-08
2014-10-22,1.690594535741619e-07
2014-10-23,8.495623688553333e-08
2014-10-24,8.495623688553333e-08
2014-10-27,8.934140212006412e-08
2014-10-28,6.716964637623583e-08
2014-10-29,1.3602017546427726e-07
2014-10-30,6.600724224495243e-08
2014-10-31,5.781514458934702e-08
2014-11-03,1.5120941771143445e-07
2014-11-04,5.6540196095086355e-08
2014-11-05,6.381025199151932e-08
2014-11-06,6.279287288226753e-08
2014-11-07,6.01119197039559e-08
2014-11-10,5.44977706897068e-08
2014-11-11,5.238447302614956e-08
2014-11-12,1.827732368024862e-07
2014-11-13,5.5451381446414e-08
2014-11-14,2.8243196728782265e-07
2014-11-17,6.488918267637999e-08
2014-11-18,1.5120941771143445e-07
2014-11-19,5.3061037531316884e-08
2014-11-20,1.6281366909945155e-07
2014-11-21,1.5120941771143445e-07
2014-11-24,5.855231210650317e-08
2014-11-25,1.45915476141443e-07
2014-11-26,1.4080004162797742e-07
2014-11-27,7.567774165855438e-08
2014-11-28,1.7570650418616707e-07
2014-12-01,6.093513972331849e-08
2014-12-02,5.930494569306631e-08
2014-12-03,6.600724224495243e-08
2014-12-04,1.827732368024862e-07
2014-12-05,5.718863868430379e-08
2014-12-08,6.974988145888696e-08
2014-12-09,1.7570650418616707e-07
2014-12-10,5.781514458934702e-08
2014-12-11,5.4938978807056254e-08
2014-12-12,1.9027874277687577e-07
2014-12-15,1.3148236618767997e-07
2014-12-16,1.2309731071808544e-07
2014-12-17,1.45915476141443e-07
2014-12-18,1.45915476141443e-07
2014-12-19,1.6281366909945155e-07
2014-12-22,1.6281366909945155e-07
2014-12-23,1.3148236618767997e-07
2014-12-29,1.3602017546427726e-07
2014-12-30,5.930494569306631e-08
2015-01-05,5.338545854045759e-08
2015-01-06,5.338545854045759e-08
2015-01-07,8.290757578696138e-08
2015-01-08,1.1917486973400636e-07
2015-01-09,2.9625262054878756e-07
2015-01-12,5.2804911391707366e-08
2015-01-13,6.18757046458675e-08
2015-01-14,1.3602017546427726e-07
2015-01-15,6.600724224495243e-08
2015-01-16,2.0658997819560394e-07
2015-01-19,2.350172257810069e-07
2015-01-20,6.716964637623581e-08
2015-01-21,2.0658997819560394e-07
2015-01-22,6.18757046458675e-08
2015-01-23,2.350172257810069e-07
2015-01-26,2.350172257810069e-07
2015-01-27,2.350172257810069e-07
2015-01-28,7.255946083809338e-08
2015-01-29,1.690594535741619e-07
2015-01-30,1.690594535741619e-07
2015-02-02,2.572693956605318e-07
2015-02-03,1.3602017546427726e-07
